dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.608,0.5762060057740024,0.594,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,3.9688637256622314,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.604,0.5739777797803127,0.586,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5919110774993896,13722,10978,4.363047361373901,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.842603862285614,1.7805857623898191e-06,1.697277548373677e-05,1.5192189493973274e-05,0.2999999523162842,0.29781779646873474,0.47151293932285937,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.617,0.6010283744319063,0.596,0.15451895043731778,0.13392293114339862,0.14348561759729273,0.19997084973036006,0.6230869889259338,0.6228821277618408,13722,10978,3.957768440246582,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.33628588914871216,0.36057525873184204,0.4707222222089236,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,2.032626724712827e-07,0.8778603076934814,0.48864972591400146,0.4999999403953552
Cora,feature_similar_cross_class,0.3,0,DegreeAwareRandom,degree_aware_random,GCN,0.652,0.6486974528237538,0.65,0.20477386934673367,0.20593809222994314,0.20535433070866144,0.23203614633435354,0.6230869889259338,0.6221294403076172,13722,10538,0.767822265625,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GCN-Jaccard,jaccard,GCN,0.612,0.5795062059798824,0.618,0.07142857142857142,0.06190777005685408,0.06632825719120136,0.19997084973036006,0.6230869889259338,0.6042994856834412,13722,10978,0.6199750900268555,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.654,0.6326314331495543,0.636,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,1.1460747718811035,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.608,0.5881249211488611,0.602,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7593615055084229,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.612,0.5919386890744965,0.576,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5911823511123657,13722,10978,1.3546452522277832,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429648280143738,5.904472288875695e-08,6.406297075045586e-07,5.815850272483658e-07,0.29999998211860657,0.2995181083679199,0.486477438739621,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.629,0.6165719279120532,0.602,0.14941690962099125,0.12950094756790903,0.13874788494077833,0.19997084973036006,0.6230869889259338,0.6217890381813049,13722,10978,2.2331440448760986,0.1,0.5,0.3,,0.1,0.5,,0.8429648280143738,,,,0.3159591257572174,0.3633279800415039,0.47836458420356304,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.7324893519798934e-07,0.9047878980636597,0.47891712188720703,0.4999999403953552
Cora,feature_similar_cross_class,0.3,1,DegreeAwareRandom,degree_aware_random,GCN,0.663,0.6433800093317009,0.636,0.23229813664596274,0.23626026531901453,0.23426244910742247,0.23465967060195303,0.6230869889259338,0.6292134523391724,13722,10502,0.5021862983703613,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,GCN-Jaccard,jaccard,GCN,0.586,0.5834916493939442,0.594,0.07142857142857142,0.06190777005685408,0.06632825719120136,0.19997084973036006,0.6230869889259338,0.6042994856834412,13722,10978,0.8173184394836426,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.665,0.656838535523365,0.684,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,1.5270192623138428,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.587,0.5770642022030673,0.566,0.08965014577259475,0.07770056854074542,0.083248730964467,0.19997084973036006,0.6230869889259338,0.6072143912315369,13722,10978,0.7843208312988281,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.587,0.5849928476895788,0.56,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5900892615318298,13722,10978,1.536306381225586,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429141044616699,6.877929081383627e-06,2.9644616006407887e-05,2.2766686015529558e-05,0.29999998211860657,0.29942572116851807,0.4685646111572441,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.617,0.6148848081619247,0.588,0.15160349854227406,0.131396083385976,0.14077834179357024,0.19997084973036006,0.6230869889259338,0.6228821277618408,13722,10978,2.1786677837371826,0.1,0.5,0.3,,0.1,0.5,,0.8429141044616699,,,,0.3126715421676636,0.3654929995536804,0.43393631223373963,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.1860589665957377e-07,0.9426468014717102,0.6467962265014648,0.4999999701976776
Cora,feature_similar_cross_class,0.3,2,DegreeAwareRandom,degree_aware_random,GCN,0.628,0.6128652236002603,0.642,0.225,0.22741629816803538,0.22620169651272384,0.2332021571199534,0.6230869889259338,0.622505247592926,13722,10522,0.4964439868927002,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,GCN-Jaccard,jaccard,GCN,0.585,0.5793896155664424,0.568,0.07142857142857142,0.06190777005685408,0.06632825719120136,0.19997084973036006,0.6230869889259338,0.6042994856834412,13722,10978,0.6015117168426514,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,Random-Matched,random_matched,GCN,0.633,0.6233971271849719,0.628,0.22813411078717202,0.19772583701831964,0.21184433164128597,0.19997084973036006,0.6230869889259338,0.6236108541488647,13722,10978,0.7721779346466064,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,Feature-only,feature_only,GCN,0.594,0.5794134692855274,0.566,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,0.7833700180053711,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.594,0.5857035315395537,0.574,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5922754406929016,13722,10978,1.356374979019165,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429012298583984,3.767798716580728e-06,2.8796739570680074e-05,2.5028941308846697e-05,0.2999999523162842,0.3019512891769409,0.47728643696034295,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.608,0.601974016515755,0.592,0.16253644314868804,0.1408717624763108,0.15093062605752963,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,2.084735870361328,0.1,0.5,0.3,,0.1,0.5,,0.8429012298583984,,,,0.32871466875076294,0.3627789318561554,0.48184217159536824,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.206760344985014e-07,0.8824150562286377,0.4568367302417755,0.4999999701976776
Cora,feature_similar_cross_class,0.3,3,DegreeAwareRandom,degree_aware_random,GCN,0.639,0.6233478238232798,0.636,0.23902132998745296,0.2406822488945041,0.23984891406987727,0.23232764903075354,0.6230869889259338,0.6271122097969055,13722,10534,0.4948759078979492,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,GCN-Jaccard,jaccard,GCN,0.61,0.6029716312440639,0.598,0.0663265306122449,0.0574857864813645,0.06159052453468697,0.19997084973036006,0.6230869889259338,0.6032063961029053,13722,10978,0.8504419326782227,,,,,,,,,,,,,,,,,,,,,,,,
